category,year_month,units,revenue,orders
TCM,2025-08,94491,3.33867e+06,19034
Medical_Devices,2025-06,87837,3.27325e+06,17195
Western_Medicine,2025-03,147152,6.40999e+06,23491
TCM,2025-09,93462,3.28081e+06,18531
Medical_Devices,2025-07,88040,3.33186e+06,17335
Western_Medicine,2025-04,147978,6.39861e+06,22949
Health_Supplements,2024-10,35942,1.61406e+06,5148
Western_Medicine,2024-06,121087,5.55998e+06,22313
Medical_Devices,2025-08,86940,3.32009e+06,17170
Western_Medicine,2025-05,151205,6.5595e+06,23570
Health_Supplements,2024-11,38231,1.58643e+06,5131
Medical_Devices,2024-10,91677,3.43421e+06,17874
Western_Medicine,2024-07,126315,5.79146e+06,23069
Health_Supplements,2025-10,35962,1.64627e+06,5194
Medical_Devices,2025-09,85301,3.22569e+06,16801
Western_Medicine,2025-06,121602,5.54878e+06,22355
Health_Supplements,2025-01,39426,1.65814e+06,5296
Health_Supplements,2024-12,38550,1.60402e+06,5331
Medical_Devices,2024-11,123458,4.58583e+06,17499
Western_Medicine,2024-08,127171,5.81633e+06,23166
Health_Supplements,2025-11,35297,1.46746e+06,4868
Western_Medicine,2025-07,123967,5.62002e+06,23061
Health_Supplements,2025-02,35492,1.46695e+06,4748
Medical_Devices,2024-12,125643,4.68908e+06,18064
TCM,2024-10,101178,3.69773e+06,19308
Western_Medicine,2024-09,121928,5.59335e+06,22354
Western_Medicine,2025-08,120584,5.49446e+06,22924
Health_Supplements,2025-03,35059,1.59261e+06,5148
TCM,2024-11,122838,5.03609e+06,19124
TCM,2025-10,98369,3.46005e+06,19153
Western_Medicine,2025-09,118520,5.4317e+06,22207
Health_Supplements,2025-04,33945,1.53985e+06,5044
TCM,2025-01,127425,5.1332e+06,19855
TCM,2024-12,125116,5.0594e+06,19701
Health_Supplements,2024-06,33696,1.53377e+06,4973
TCM,2025-11,114805,4.57228e+06,18284
Health_Supplements,2025-05,34907,1.56873e+06,5184
TCM,2025-02,115578,4.71181e+06,17888
Health_Supplements,2024-07,35558,1.61693e+06,5140
Medical_Devices,2024-06,87167,3.27537e+06,17011
Medical_Devices,2025-10,88168,3.37501e+06,17305
Health_Supplements,2025-06,34319,1.53472e+06,4975
TCM,2025-03,135972,4.58058e+06,19736
Medical_Devices,2025-01,127727,4.75561e+06,18227
Health_Supplements,2024-08,35118,1.56711e+06,5193
Medical_Devices,2024-07,92240,3.44025e+06,17818
Medical_Devices,2025-11,116143,4.43266e+06,16445
Health_Supplements,2025-07,35445,1.58977e+06,5167
TCM,2025-04,134572,4.51703e+06,19204
Medical_Devices,2025-02,115154,4.32519e+06,16332
Western_Medicine,2024-10,127467,5.85124e+06,23190
Health_Supplements,2024-09,34038,1.53217e+06,5045
Medical_Devices,2024-08,90773,3.4192e+06,17729
TCM,2024-06,95187,3.46087e+06,18597
Health_Supplements,2025-08,34511,1.55209e+06,5056
TCM,2025-05,137579,4.62754e+06,19683
Medical_Devices,2025-03,102085,3.96455e+06,17870
Western_Medicine,2024-11,171946,7.51386e+06,22962
Medical_Devices,2024-09,88256,3.30986e+06,17112
TCM,2024-07,100622,3.63494e+06,19300
Western_Medicine,2025-10,123469,5.63678e+06,23044
Health_Supplements,2025-09,33722,1.51188e+06,4999
TCM,2025-06,96247,3.49051e+06,18705
Medical_Devices,2025-04,99959,3.92595e+06,17391
Western_Medicine,2025-01,181538,7.91054e+06,23729
Western_Medicine,2024-12,179314,7.77645e+06,23785
TCM,2024-08,99905,3.64128e+06,19416
Western_Medicine,2025-11,162915,6.99096e+06,21976
TCM,2025-07,96702,3.39478e+06,19093
Medical_Devices,2025-05,101893,3.95975e+06,17890
Western_Medicine,2025-02,161512,7.02155e+06,21506
TCM,2024-09,96340,3.50341e+06,18752
