customer_type,category,year_month,units,revenue
primary_healthcare,Western_Medicine,2025-09,20510,929969
public_hospital,Health_Supplements,2025-03,18399,943643
clinic,Health_Supplements,2024-09,848,15036.9
public_hospital,Health_Supplements,2025-04,17692,899822
public_hospital,Health_Supplements,2025-05,18229,920226
public_hospital,Medical_Devices,2024-10,37412,1.63595e+06
public_hospital,Health_Supplements,2025-06,18384,921055
public_hospital,Medical_Devices,2024-11,54737,2.4287e+06
public_hospital,Health_Supplements,2025-07,18604,935231
public_hospital,Medical_Devices,2024-12,55716,2.47545e+06
public_hospital,Health_Supplements,2025-08,18205,908695
public_hospital,Health_Supplements,2025-09,17368,866451
independent_pharmacy,TCM,2025-01,26990,922673
independent_pharmacy,Western_Medicine,2024-06,26476,1.32744e+06
independent_pharmacy,TCM,2025-02,24518,844051
independent_pharmacy,Western_Medicine,2024-07,27577,1.37041e+06
independent_pharmacy,TCM,2025-03,30684,925259
independent_pharmacy,Western_Medicine,2024-08,27851,1.36208e+06
clinic,Medical_Devices,2025-10,4521,186822
independent_pharmacy,TCM,2025-04,29942,892741
independent_pharmacy,Western_Medicine,2024-09,26839,1.31731e+06
clinic,Medical_Devices,2025-11,4754,182671
independent_pharmacy,TCM,2025-05,30534,906954
primary_healthcare,Western_Medicine,2024-06,20985,955160
independent_pharmacy,TCM,2025-06,21973,704666
primary_healthcare,Western_Medicine,2024-07,22059,1.01011e+06
independent_pharmacy,TCM,2025-07,21717,681893
clinic,Western_Medicine,2025-01,9226,382244
independent_pharmacy,Health_Supplements,2025-01,8114,302573
primary_healthcare,Western_Medicine,2024-08,21849,1.01392e+06
chain_pharmacy,Medical_Devices,2025-10,9791,269219
independent_pharmacy,TCM,2025-08,21560,680529
clinic,Western_Medicine,2025-02,8179,345310
independent_pharmacy,Health_Supplements,2025-02,7308,277443
primary_healthcare,Western_Medicine,2024-09,20906,955885
chain_pharmacy,Medical_Devices,2025-11,11640,322306
independent_pharmacy,TCM,2025-09,21277,678739
clinic,Western_Medicine,2025-03,7082,297445
independent_pharmacy,Health_Supplements,2025-03,6707,291119
clinic,Western_Medicine,2025-04,7139,293651
independent_pharmacy,Health_Supplements,2025-04,6632,299898
clinic,Western_Medicine,2025-05,7181,304697
independent_pharmacy,Health_Supplements,2025-05,6762,289479
public_hospital,Health_Supplements,2024-06,17696,909506
clinic,Western_Medicine,2025-06,6169,263227
independent_pharmacy,Health_Supplements,2025-06,6319,273139
public_hospital,Health_Supplements,2024-07,18690,970550
clinic,Western_Medicine,2025-07,6042,261038
independent_pharmacy,Health_Supplements,2025-07,6694,295123
public_hospital,Health_Supplements,2024-08,18347,921856
clinic,Western_Medicine,2025-08,6207,270360
independent_pharmacy,Health_Supplements,2025-08,6699,293917
primary_healthcare,TCM,2025-01,18392,738570
public_hospital,Health_Supplements,2024-09,17878,904068
clinic,Western_Medicine,2025-09,5866,254911
independent_pharmacy,Health_Supplements,2025-09,6661,297131
primary_healthcare,TCM,2025-02,16737,665092
primary_healthcare,TCM,2025-03,19499,677449
primary_healthcare,TCM,2025-04,19403,672284
chain_pharmacy,Health_Supplements,2025-01,4916,193741
clinic,Medical_Devices,2024-10,4880,197656
primary_healthcare,TCM,2025-05,19802,681195
chain_pharmacy,Health_Supplements,2025-02,4425,169440
clinic,Medical_Devices,2024-11,5079,189725
primary_healthcare,TCM,2025-06,13775,495216
chain_pharmacy,Health_Supplements,2025-03,4255,186566
independent_pharmacy,TCM,2024-06,21496,685466
clinic,Medical_Devices,2024-12,5230,202912
chain_pharmacy,TCM,2025-10,9673,322607
primary_healthcare,TCM,2025-07,14014,484420
chain_pharmacy,Health_Supplements,2025-04,3958,170959
independent_pharmacy,TCM,2024-07,22706,723682
clinic,TCM,2024-06,4570,161750
chain_pharmacy,TCM,2025-11,11402,414519
primary_healthcare,TCM,2025-08,13614,477250
chain_pharmacy,Health_Supplements,2025-05,4276,185467
independent_pharmacy,TCM,2024-08,22903,732376
chain_pharmacy,Medical_Devices,2024-10,10223,280734
clinic,TCM,2024-07,4893,173296
primary_healthcare,TCM,2025-09,13554,466504
chain_pharmacy,Health_Supplements,2025-06,4099,176661
independent_pharmacy,TCM,2024-09,22078,705761
chain_pharmacy,Medical_Devices,2024-11,13226,350829
clinic,TCM,2024-08,4883,175578
chain_pharmacy,Health_Supplements,2025-07,4306,185560
primary_healthcare,Health_Supplements,2025-01,6130,169178
chain_pharmacy,Medical_Devices,2024-12,13382,363414
clinic,TCM,2024-09,4561,163445
