inventory_id,warehouse_id,bin_id,sku_id,batch_id,manufacture_date,expiry_date,received_date,quantity_available,quantity_reserved,quality_status,days_to_expiry
INV_0000001,WH_001,WH_001_AMBIENT_111,SKU_00135,BATCH_0000001,2025-10-18,2026-10-18,2025-10-26,30,1,good,144
INV_0000002,WH_003,WH_003_AMBIENT_104,SKU_00132,BATCH_0000002,2026-05-06,2027-05-06,2026-05-09,69,11,good,344
INV_0000003,WH_003,WH_003_AMBIENT_172,SKU_00124,BATCH_0000003,2026-04-19,2028-04-26,2026-05-02,20,0,good,700
INV_0000004,WH_002,WH_002_AMBIENT_017,SKU_00233,BATCH_0000004,2026-01-28,2027-09-09,2026-01-31,22,4,good,470
INV_0000005,WH_002,WH_002_AMBIENT_181,SKU_00267,BATCH_0000005,2025-06-09,2027-06-21,2025-06-21,33,0,good,390
INV_0000006,WH_003,WH_003_AMBIENT_102,SKU_00052,BATCH_0000006,2025-09-10,2028-05-28,2025-09-17,5,0,good,732
INV_0000007,WH_001,WH_001_AMBIENT_026,SKU_00174,BATCH_0000007,2026-02-02,2028-06-11,2026-02-03,5,2,good,746
INV_0000008,WH_003,WH_003_COOL_015,SKU_00226,BATCH_0000008,2025-10-07,2027-10-07,2025-10-20,246,0,good,498
INV_0000009,WH_002,WH_002_COOL_062,SKU_00294,BATCH_0000009,2024-12-13,2026-12-13,2024-12-19,1,0,good,200
INV_0000010,WH_001,WH_001_AMBIENT_172,SKU_00008,BATCH_0000010,2025-08-06,2026-08-06,2025-08-15,89,37,good,71
INV_0000011,WH_002,WH_002_COOL_095,SKU_00011,BATCH_0000011,2025-12-20,2027-12-20,2026-01-02,19,2,good,572
INV_0000012,WH_003,WH_003_COLD_134,SKU_00154,BATCH_0000012,2026-05-02,2026-09-26,2026-05-13,29,0,good,122
INV_0000013,WH_002,WH_002_COOL_107,SKU_00273,BATCH_0000013,2025-10-31,2027-06-10,2025-11-13,17,0,good,379
INV_0000014,WH_002,WH_002_AMBIENT_065,SKU_00094,BATCH_0000014,2025-06-26,2027-09-18,2025-07-07,32,0,good,479
INV_0000015,WH_002,WH_002_COOL_086,SKU_00093,BATCH_0000015,2025-04-26,2027-04-26,2025-05-07,10,0,good,334
INV_0000016,WH_003,WH_003_FROZEN_170,SKU_00171,BATCH_0000016,2025-11-03,2027-10-14,2025-11-15,92,0,good,505
INV_0000017,WH_003,WH_003_AMBIENT_101,SKU_00278,BATCH_0000017,2025-12-10,2028-01-11,2025-12-16,1332,0,good,594
INV_0000018,WH_003,WH_003_COOL_094,SKU_00117,BATCH_0000018,2025-02-17,2026-09-02,2025-03-02,3,0,good,98
INV_0000019,WH_002,WH_002_AMBIENT_018,SKU_00017,BATCH_0000019,2024-09-05,2026-08-11,2024-09-11,2,0,good,76
INV_0000020,WH_001,WH_001_COOL_154,SKU_00058,BATCH_0000020,2025-09-22,2026-07-18,2025-09-24,138,0,good,52
INV_0000021,WH_003,WH_003_COOL_105,SKU_00041,BATCH_0000021,2026-02-04,2027-08-04,2026-02-17,30,4,good,434
INV_0000022,WH_003,WH_003_COLD_099,SKU_00149,BATCH_0000022,2026-04-15,2026-09-07,2026-04-26,7,0,good,103
INV_0000023,WH_003,WH_003_COLD_040,SKU_00154,BATCH_0000023,2026-04-04,2026-08-29,2026-04-14,3,0,good,94
INV_0000024,WH_003,WH_003_AMBIENT_156,SKU_00046,BATCH_0000024,2025-10-31,2026-10-31,2025-11-05,19,6,good,157
INV_0000025,WH_001,WH_001_AMBIENT_111,SKU_00195,BATCH_0000025,2024-10-05,2027-01-05,2024-10-16,88,0,good,223
INV_0000026,WH_002,WH_002_AMBIENT_067,SKU_00004,BATCH_0000026,2025-09-27,2027-03-04,2025-10-04,5,0,good,281
INV_0000027,WH_001,WH_001_COLD_095,SKU_00069,BATCH_0000027,2026-04-19,2027-03-16,2026-04-29,8,0,good,293
INV_0000028,WH_003,WH_003_AMBIENT_166,SKU_00103,BATCH_0000028,2026-05-24,2027-05-24,2026-05-30,20,0,good,362
INV_0000029,WH_002,WH_002_COOL_164,SKU_00038,BATCH_0000029,2025-03-29,2026-12-25,2025-04-10,2,0,good,212
INV_0000030,WH_001,WH_001_COOL_155,SKU_00112,BATCH_0000030,2025-11-30,2027-11-30,2025-12-02,8,0,good,552
INV_0000031,WH_003,WH_003_COLD_039,SKU_00228,BATCH_0000031,2026-03-29,2027-01-24,2026-04-08,4,0,good,242
INV_0000032,WH_003,WH_003_FROZEN_170,SKU_00287,BATCH_0000032,2025-02-15,2027-02-15,2025-02-18,23,0,good,264
INV_0000033,WH_001,WH_001_COOL_010,SKU_00139,BATCH_0000033,2025-07-15,2027-07-15,2025-07-20,20,3,good,414
INV_0000034,WH_001,WH_001_AMBIENT_051,SKU_00191,BATCH_0000034,2025-07-22,2028-02-09,2025-08-04,36,0,good,623
INV_0000035,WH_003,WH_003_COLD_167,SKU_00096,BATCH_0000035,2025-12-27,2026-12-27,2026-01-08,74,0,good,214
INV_0000036,WH_001,WH_001_COLD_169,SKU_00251,BATCH_0000036,2026-03-24,2027-03-24,2026-03-29,60,0,good,301
