sku_id,warehouse_id,total_qty,reserved_qty,batches,near_expiry_qty,expired_qty,min_days_to_expiry
SKU_00003,WH_002,313,28,11,0,0,
SKU_00028,WH_002,596,8,7,0,0,
SKU_00045,WH_002,257,5,9,0,0,
SKU_00024,WH_002,313,13,13,0,0,
SKU_00049,WH_002,586,33,12,0,0,
SKU_00024,WH_003,278,2,8,0,0,
SKU_00057,WH_001,417,3,14,0,0,
SKU_00036,WH_001,1132,99,13,0,0,
SKU_00011,WH_001,68,0,5,0,0,
SKU_00028,WH_003,266,4,8,0,0,
SKU_00049,WH_003,428,2,8,0,0,
SKU_00015,WH_001,161,3,7,0,0,
SKU_00045,WH_003,207,18,8,0,0,
SKU_00003,WH_003,650,7,14,0,0,
SKU_00015,WH_002,243,8,9,0,0,
SKU_00057,WH_002,80,3,3,0,0,
SKU_00036,WH_002,762,17,11,0,0,
SKU_00011,WH_002,357,10,9,0,0,
SKU_00036,WH_003,829,23,14,0,0,
SKU_00027,WH_001,323,31,11,0,0,
SKU_00002,WH_001,326,13,7,0,0,
SKU_00023,WH_001,137,1,6,0,0,
SKU_00015,WH_003,252,10,10,0,0,
SKU_00057,WH_003,347,62,9,0,0,
SKU_00006,WH_001,96,8,6,0,0,
SKU_00011,WH_003,301,69,10,0,0,
SKU_00048,WH_001,345,23,8,0,0,
SKU_00002,WH_002,155,7,8,0,0,
SKU_00027,WH_002,706,5,9,0,0,
SKU_00023,WH_002,5,0,1,0,0,
SKU_00006,WH_002,203,2,10,0,0,
SKU_00048,WH_002,615,3,12,0,0,
SKU_00027,WH_003,287,1,6,0,0,
SKU_00048,WH_003,304,14,10,0,0,
SKU_00014,WH_001,46,0,5,0,0,
SKU_00006,WH_003,497,0,7,0,0,
SKU_00023,WH_003,170,1,11,0,0,
SKU_00039,WH_001,291,62,7,0,0,
SKU_00002,WH_003,220,31,7,0,0,
SKU_00018,WH_001,113,3,6,0,0,
SKU_00191,WH_001,385,0,4,0,0,
SKU_00039,WH_002,123,7,6,0,0,
SKU_00014,WH_002,262,14,5,0,0,
SKU_00191,WH_002,519,4,8,0,0,
SKU_00018,WH_002,1317,35,16,0,0,
SKU_00014,WH_003,256,10,8,0,0,
SKU_00026,WH_001,172,1,7,0,0,
SKU_00005,WH_001,206,0,7,0,0,
SKU_00018,WH_003,157,0,5,0,0,
SKU_00009,WH_001,507,10,10,0,0,
SKU_00039,WH_003,401,0,7,0,0,
SKU_00191,WH_003,333,14,11,0,0,
SKU_00005,WH_002,284,0,7,0,0,
SKU_00009,WH_002,962,124,16,0,0,
SKU_00026,WH_002,207,45,7,0,0,
SKU_00009,WH_003,192,0,3,0,0,
SKU_00038,WH_001,366,24,13,0,0,
SKU_00005,WH_003,507,61,14,0,0,
SKU_00194,WH_001,87,2,8,0,0,
SKU_00026,WH_003,586,14,12,0,0,
SKU_00017,WH_001,368,26,9,0,0,
SKU_00190,WH_001,415,2,14,0,0,
SKU_00194,WH_002,406,0,3,0,0,
SKU_00190,WH_002,326,14,9,0,0,
SKU_00038,WH_002,279,6,10,0,0,
SKU_00017,WH_002,430,7,11,0,0,
SKU_00038,WH_003,336,11,10,0,0,
SKU_00190,WH_003,535,0,10,0,0,
SKU_00017,WH_003,344,7,11,0,0,
SKU_00194,WH_003,307,0,10,0,0,
SKU_00181,WH_001,509,7,10,0,0,
SKU_00004,WH_001,500,78,10,0,0,
SKU_00029,WH_001,361,9,8,0,0,
SKU_00160,WH_001,145,1,6,0,0,
SKU_00008,WH_001,340,57,8,0,0,
SKU_00160,WH_002,213,0,8,0,0,
SKU_00181,WH_002,70,1,5,0,0,
SKU_00008,WH_002,144,12,6,0,0,
SKU_00029,WH_002,399,0,10,0,0,
SKU_00004,WH_002,138,0,7,0,0,
SKU_00193,WH_001,189,0,7,0,0,
SKU_00160,WH_003,495,16,10,0,0,
SKU_00172,WH_001,158,0,5,0,0,
SKU_00008,WH_003,619,9,13,0,0,
SKU_00029,WH_003,235,9,10,0,0,
SKU_00181,WH_003,1216,65,14,0,0,
SKU_00004,WH_003,391,46,11,0,0,
SKU_00172,WH_002,174,2,6,0,0,
SKU_00193,WH_002,233,10,9,0,0,
SKU_00184,WH_001,131,0,6,0,0,
SKU_00007,WH_001,179,4,4,0,0,
SKU_00172,WH_003,686,0,8,0,0,
SKU_00193,WH_003,671,90,13,0,0,
SKU_00180,WH_001,462,1,7,0,0,
SKU_00007,WH_002,236,18,14,0,0,
SKU_00180,WH_002,891,15,13,0,0,
SKU_00184,WH_002,162,0,7,0,0,
SKU_00192,WH_001,194,4,7,0,0,
SKU_00007,WH_003,183,8,7,0,0,
SKU_00150,WH_001,380,39,11,0,0,
SKU_00171,WH_001,558,40,10,0,0,
SKU_00184,WH_003,251,1,11,0,0,
SKU_00180,WH_003,358,16,10,0,0,
SKU_00196,WH_001,182,0,13,0,0,
SKU_00175,WH_001,612,9,12,0,0,
SKU_00019,WH_001,216,0,6,0,0,
SKU_00196,WH_002,331,23,9,0,0,
SKU_00019,WH_002,152,12,8,0,0,
SKU_00150,WH_002,719,49,5,0,0,
SKU_00171,WH_002,420,20,9,0,0,
SKU_00175,WH_002,252,9,9,0,0,
SKU_00192,WH_002,318,4,11,0,0,
SKU_00183,WH_001,259,5,8,0,0,
SKU_00019,WH_003,242,8,6,0,0,
SKU_00162,WH_001,182,13,7,0,0,
SKU_00196,WH_003,354,18,10,0,0,
SKU_00187,WH_001,504,7,10,0,0,
SKU_00141,WH_001,179,13,7,0,0,
SKU_00192,WH_003,61,3,6,0,0,
SKU_00175,WH_003,633,66,7,0,0,
SKU_00171,WH_003,361,13,6,0,0,
SKU_00150,WH_003,489,92,10,0,0,
SKU_00183,WH_002,325,17,11,0,0,
SKU_00141,WH_002,426,7,13,0,0,
SKU_00162,WH_002,244,8,11,0,0,
SKU_00187,WH_002,317,14,9,0,0,
SKU_00153,WH_001,189,23,7,0,0,
SKU_00187,WH_003,70,1,4,0,0,
SKU_00141,WH_003,277,27,6,0,0,
SKU_00170,WH_001,271,7,9,0,0,
SKU_00183,WH_003,154,1,8,0,0,
SKU_00195,WH_001,753,141,16,0,0,
SKU_00162,WH_003,377,6,12,0,0,
SKU_00199,WH_001,184,2,6,0,0,
SKU_00174,WH_001,177,2,8,0,0,
SKU_00153,WH_002,325,1,8,0,0,
SKU_00174,WH_002,170,1,6,0,0,
SKU_00199,WH_002,169,10,9,0,0,
SKU_00195,WH_002,277,0,6,0,0,
SKU_00170,WH_002,134,0,7,0,0,
SKU_00195,WH_003,54,4,5,0,0,
SKU_00170,WH_003,1012,57,14,0,0,
SKU_00199,WH_003,426,7,11,0,0,
SKU_00140,WH_001,606,89,6,0,0,
SKU_00165,WH_001,491,63,10,0,0,
SKU_00186,WH_001,96,2,8,0,0,
SKU_00174,WH_003,449,17,11,0,0,
SKU_00153,WH_003,112,3,8,0,0,
SKU_00161,WH_001,516,19,10,0,0,
SKU_00182,WH_001,369,17,10,0,0,
SKU_00165,WH_002,48,11,2,0,0,
SKU_00140,WH_002,611,21,12,0,0,
SKU_00161,WH_002,282,1,8,0,0,
SKU_00182,WH_002,256,1,5,0,0,
SKU_00186,WH_002,379,20,11,0,0,
SKU_00186,WH_003,140,3,5,0,0,
SKU_00177,WH_001,359,2,8,0,0,
SKU_00156,WH_001,296,0,10,0,0,
SKU_00173,WH_001,559,30,11,0,0,
SKU_00165,WH_003,207,20,6,0,0,
SKU_00152,WH_001,758,10,12,0,0,
SKU_00161,WH_003,174,9,6,0,0,
SKU_00198,WH_001,63,0,5,0,0,
SKU_00131,WH_001,68,1,7,0,0,
SKU_00140,WH_003,352,11,10,0,0,
SKU_00182,WH_003,143,0,8,0,0,
SKU_00131,WH_002,61,9,3,0,0,
SKU_00173,WH_002,170,2,7,0,0,
SKU_00177,WH_002,214,0,7,0,0,
SKU_00156,WH_002,410,116,7,0,0,
SKU_00198,WH_002,168,11,12,0,0,
SKU_00152,WH_002,352,25,14,0,0,
SKU_00131,WH_003,186,9,8,0,0,
SKU_00152,WH_003,118,0,5,0,0,
SKU_00177,WH_003,807,2,6,0,0,
