region,year_month,units,revenue
Jiangsu,2025-07,42985,1.91354e+06
Zhejiang,2025-07,83474,3.26499e+06
Shandong,2025-06,28727,1.1456e+06
Guangdong,2025-06,53488,2.22366e+06
Sichuan,2025-06,34269,1.24625e+06
Hubei,2025-05,73135,2.8308e+06
Henan,2024-11,49205,2.11659e+06
Jiangsu,2024-09,44134,2.0033e+06
Zhejiang,2024-09,82485,3.2418e+06
Shandong,2024-08,29604,1.17142e+06
Guangdong,2024-08,55563,2.3242e+06
Sichuan,2024-08,35914,1.30746e+06
Hubei,2024-07,60777,2.54675e+06
Henan,2025-10,38411,1.54855e+06
Jiangsu,2025-08,42076,1.86769e+06
Zhejiang,2025-08,82198,3.22591e+06
Shandong,2025-07,28922,1.15205e+06
Guangdong,2025-07,54783,2.29526e+06
Sichuan,2025-07,35610,1.26467e+06
Hubei,2025-06,57956,2.43264e+06
Henan,2025-01,52574,2.27475e+06
Henan,2024-12,51003,2.22597e+06
Shandong,2024-09,28425,1.14568e+06
Guangdong,2024-09,53699,2.24845e+06
Sichuan,2024-09,34905,1.27788e+06
Hubei,2024-08,60525,2.49942e+06
Henan,2025-11,45941,1.92861e+06
Jiangsu,2025-09,41783,1.86924e+06
Zhejiang,2025-09,80060,3.13645e+06
Shandong,2025-08,28386,1.14249e+06
Guangdong,2025-08,53732,2.26122e+06
Sichuan,2025-08,35404,1.27391e+06
Hubei,2025-07,59678,2.49088e+06
Henan,2025-02,45850,1.98644e+06
Hubei,2024-09,58877,2.45044e+06
Shandong,2025-09,27674,1.11359e+06
Guangdong,2025-09,52849,2.22951e+06
Sichuan,2025-09,34603,1.24609e+06
Hubei,2025-08,57641,2.42583e+06
Henan,2025-03,48209,1.93608e+06
Hubei,2025-09,57369,2.37159e+06
Henan,2025-04,47558,1.9013e+06
Henan,2024-06,37693,1.57483e+06
Henan,2025-05,48039,1.94044e+06
Jiangsu,2024-10,45749,2.06459e+06
Zhejiang,2024-10,86748,3.42601e+06
Henan,2024-07,39502,1.62497e+06
Henan,2025-06,38443,1.59423e+06
Jiangsu,2024-11,68676,3.28144e+06
Zhejiang,2024-11,108519,4.26483e+06
Shandong,2024-10,30146,1.21085e+06
Guangdong,2024-10,55780,2.34415e+06
Sichuan,2024-10,36569,1.32569e+06
Henan,2024-08,39914,1.67467e+06
Jiangsu,2025-10,44154,1.96246e+06
Zhejiang,2025-10,83679,3.30753e+06
Henan,2025-07,38702,1.55503e+06
Jiangsu,2025-01,70619,3.38396e+06
Zhejiang,2025-01,113933,4.45487e+06
Jiangsu,2024-12,70335,3.36563e+06
Zhejiang,2024-12,111656,4.33034e+06
Shandong,2024-11,37806,1.5426e+06
Guangdong,2024-11,68940,2.91805e+06
Sichuan,2024-11,46899,1.57761e+06
Hubei,2024-10,60770,2.52362e+06
Henan,2024-09,38037,1.57125e+06
Jiangsu,2025-11,64317,3.0711e+06
Zhejiang,2025-11,101174,3.95192e+06
Shandong,2025-10,28949,1.15679e+06
Guangdong,2025-10,55988,2.34794e+06
Sichuan,2025-10,35474,1.29265e+06
Henan,2025-08,37089,1.50827e+06
Jiangsu,2025-02,63818,3.05991e+06
Zhejiang,2025-02,101880,3.97772e+06
Shandong,2025-01,39450,1.59276e+06
Guangdong,2025-01,71644,3.0024e+06
Sichuan,2025-01,49586,1.67337e+06
Shandong,2024-12,38836,1.57149e+06
Guangdong,2024-12,70365,2.94689e+06
Sichuan,2024-12,48567,1.63298e+06
Hubei,2024-11,76428,3.0211e+06
Shandong,2025-11,35719,1.43113e+06
Guangdong,2025-11,65896,2.77834e+06
Sichuan,2025-11,44882,1.48117e+06
Hubei,2025-10,59313,2.50219e+06
Henan,2025-09,36667,1.4836e+06
Jiangsu,2025-03,49981,2.20943e+06
Zhejiang,2025-03,106701,4.18369e+06
Shandong,2025-02,35586,1.44156e+06
Guangdong,2025-02,65177,2.77446e+06
Sichuan,2025-02,44083,1.4654e+06
Hubei,2025-01,78310,3.07538e+06
Hubei,2024-12,77861,3.05565e+06
Hubei,2025-11,71231,2.82108e+06
Jiangsu,2025-04,49354,2.17208e+06
Zhejiang,2025-04,107269,4.19085e+06
Shandong,2025-03,34711,1.32385e+06
Guangdong,2025-03,65098,2.65495e+06
Sichuan,2025-03,44525,1.53602e+06
Hubei,2025-02,71342,2.82001e+06
Jiangsu,2024-06,42814,1.92952e+06
Zhejiang,2024-06,82473,3.28781e+06
Jiangsu,2025-05,49678,2.16137e+06
Zhejiang,2025-05,108555,4.24698e+06
Shandong,2025-04,34446,1.32198e+06
Guangdong,2025-04,63585,2.58989e+06
Sichuan,2025-04,43463,1.48741e+06
Hubei,2025-03,71043,2.70372e+06
Jiangsu,2024-07,45675,2.028e+06
Zhejiang,2024-07,86668,3.42702e+06
Shandong,2024-06,28746,1.16665e+06
Guangdong,2024-06,52728,2.21291e+06
Sichuan,2024-06,34832,1.24093e+06
Jiangsu,2025-06,42859,1.88459e+06
Zhejiang,2025-06,84263,3.32029e+06
Shandong,2025-05,35067,1.3288e+06
Guangdong,2025-05,66435,2.68831e+06
Sichuan,2025-05,44675,1.51881e+06
Hubei,2025-04,70779,2.71793e+06
Henan,2024-10,40502,1.70234e+06
Jiangsu,2024-08,45478,2.05407e+06
Zhejiang,2024-08,85969,3.41269e+06
Shandong,2024-07,29860,1.2004e+06
Guangdong,2024-07,56123,2.34884e+06
Sichuan,2024-07,36130,1.30759e+06
Hubei,2024-06,57851,2.41735e+06
