sku_id,date,units,revenue,stockout_count,promotion_count,order_count
SKU_00003,2025-11-25,43,270.88,0,0,8
SKU_00111,2025-08-20,70,404.36,1,1,17
SKU_00115,2025-08-16,47,1326.62,0,0,10
SKU_00202,2025-06-29,29,44.68,2,0,12
SKU_00293,2025-04-18,7,113.69,0,1,4
SKU_00047,2024-08-11,12,344.81,1,0,10
SKU_00134,2024-06-24,78,9287.22,1,1,10
SKU_00043,2024-08-01,40,518.98,1,0,8
SKU_00130,2024-06-14,55,151.72,0,0,9
SKU_00272,2024-12-06,29,109.85,0,0,6
SKU_00006,2025-03-12,185,6995.17,1,0,9
SKU_00097,2025-01-01,19,63.99,1,0,6
SKU_00003,2025-11-26,29,184.37,0,0,8
SKU_00111,2025-08-21,56,327.86,3,0,17
SKU_00115,2025-08-17,49,1375.73,0,0,11
SKU_00293,2025-04-19,3,49.29,1,1,3
SKU_00047,2024-08-12,14,402.34,0,0,4
SKU_00134,2024-06-25,85,10101.3,0,0,11
SKU_00043,2024-08-02,32,410.75,1,0,8
SKU_00130,2024-06-15,29,82.13,2,1,9
SKU_00272,2024-12-07,33,122.69,0,0,10
SKU_00006,2025-03-13,151,5866.51,1,0,9
SKU_00097,2025-01-02,11,38.56,0,0,4
SKU_00003,2025-11-27,33,206.64,0,1,8
SKU_00098,2025-10-30,37,1581.78,0,0,9
SKU_00111,2025-08-22,86,500.57,1,0,18
SKU_00115,2025-08-18,66,1831.06,0,0,10
SKU_00256,2025-06-01,3,5.45,0,0,3
SKU_00047,2024-08-13,20,580.4,1,0,8
SKU_00134,2024-06-26,69,8055.88,1,0,11
SKU_00043,2024-08-03,20,260.96,0,0,7
SKU_00130,2024-06-16,32,89.28,0,0,8
SKU_00272,2024-12-08,22,84.16,0,0,7
SKU_00006,2025-03-14,195,7512.78,0,0,9
SKU_00097,2025-01-03,57,195.67,1,0,6
SKU_00003,2025-11-28,52,319.76,0,1,8
SKU_00098,2025-10-31,42,1729.78,0,1,8
SKU_00111,2025-08-23,49,287.49,2,0,16
SKU_00115,2025-08-19,59,1636.23,0,0,11
SKU_00256,2025-06-02,16,29.49,0,0,3
SKU_00047,2024-08-14,24,661.35,0,1,8
