customer_id,customer_type,province,city,urban_rural_flag,store_size,monthly_patient_volume,average_order_frequency_days,service_level_target,credit_tier,b2b_registered,active_status
CUST_00001,primary_healthcare,Zhejiang,Ningbo,urban,medium,6158,6,0.981,B,True,active
CUST_00002,independent_pharmacy,Sichuan,Deyang,urban,small,193,28,0.902,C,True,active
CUST_00003,independent_pharmacy,Henan,Zhengzhou,rural,small,190,14,0.904,C,True,active
CUST_00004,public_hospital,Jiangsu,Nanjing,urban,medium,8624,18,0.952,B,True,active
CUST_00005,chain_pharmacy,Zhejiang,Hangzhou,rural,medium,1223,18,0.921,B,True,active
CUST_00006,chain_pharmacy,Zhejiang,Ningbo,rural,small,9780,24,0.926,C,True,active
CUST_00007,independent_pharmacy,Sichuan,Deyang,urban,medium,349,14,0.961,D,True,active
CUST_00008,independent_pharmacy,Hubei,Wuhan,urban,medium,5605,13,0.948,A,True,active
CUST_00009,chain_pharmacy,Sichuan,Mianyang,rural,medium,4595,22,0.99,A,True,active
CUST_00010,public_hospital,Sichuan,Mianyang,urban,small,758,21,0.959,C,True,active
CUST_00011,independent_pharmacy,Guangdong,Dongguan,rural,small,163,28,0.935,C,True,active
CUST_00012,independent_pharmacy,Sichuan,Deyang,rural,medium,2242,5,0.987,A,True,active
CUST_00013,independent_pharmacy,Hubei,Wuhan,urban,small,165,26,0.925,B,True,active
CUST_00014,primary_healthcare,Shandong,Yantai,urban,medium,1876,7,0.921,A,True,active
CUST_00015,independent_pharmacy,Guangdong,Guangzhou,urban,small,210,12,0.903,A,True,active
CUST_00016,independent_pharmacy,Sichuan,Mianyang,urban,small,1305,21,0.905,B,True,active
CUST_00017,independent_pharmacy,Shandong,Yantai,urban,small,231,15,0.971,C,True,active
CUST_00018,independent_pharmacy,Jiangsu,Suzhou,urban,small,1236,11,0.954,B,True,inactive
CUST_00019,independent_pharmacy,Henan,Luoyang,rural,small,166,28,0.906,C,True,active
CUST_00020,primary_healthcare,Jiangsu,Nanjing,urban,medium,6666,9,0.965,C,True,active
CUST_00021,chain_pharmacy,Guangdong,Shenzhen,urban,medium,1164,13,0.945,C,True,active
CUST_00022,public_hospital,Zhejiang,Wenzhou,urban,medium,4102,23,0.979,C,True,active
CUST_00023,independent_pharmacy,Guangdong,Dongguan,rural,medium,1558,28,0.944,C,True,active
CUST_00024,primary_healthcare,Jiangsu,Wuxi,urban,medium,2447,23,0.928,D,True,active
CUST_00025,public_hospital,Hubei,Yichang,urban,large,4463,5,0.949,C,True,active
CUST_00026,independent_pharmacy,Guangdong,Guangzhou,urban,small,226,12,0.942,B,True,active
CUST_00027,chain_pharmacy,Jiangsu,Wuxi,urban,small,273,16,0.926,C,True,active
CUST_00028,independent_pharmacy,Hubei,Wuhan,urban,small,1418,5,0.962,B,True,active
CUST_00029,clinic,Zhejiang,Ningbo,urban,medium,318,12,0.927,B,True,active
CUST_00030,chain_pharmacy,Hubei,Xiangyang,urban,small,1425,7,0.904,B,True,active
CUST_00031,chain_pharmacy,Guangdong,Dongguan,urban,medium,9912,20,0.969,C,True,active
CUST_00032,independent_pharmacy,Henan,Luoyang,urban,medium,5227,9,0.978,B,True,active
CUST_00033,independent_pharmacy,Jiangsu,Nanjing,urban,medium,1046,22,0.91,C,True,active
CUST_00034,independent_pharmacy,Jiangsu,Suzhou,urban,small,3095,11,0.929,C,True,active
CUST_00035,chain_pharmacy,Shandong,Jinan,urban,large,1961,9,0.916,A,True,active
CUST_00036,chain_pharmacy,Sichuan,Mianyang,urban,medium,3558,13,0.917,B,True,active
CUST_00037,public_hospital,Jiangsu,Wuxi,urban,small,16601,5,0.991,A,True,active
CUST_00038,clinic,Hubei,Yichang,urban,small,1482,18,0.969,C,True,active
CUST_00039,independent_pharmacy,Shandong,Qingdao,urban,small,3051,20,0.918,A,True,active
CUST_00040,public_hospital,Guangdong,Shenzhen,urban,large,13387,4,0.929,A,True,inactive
