order_line_id,order_id,sku_id,quantity_ordered,special_handling_required,substitution_allowed
OL_000000001,ORD_0000001,SKU_00026,10,False,False
OL_000000002,ORD_0000001,SKU_00180,9,False,True
OL_000000003,ORD_0000001,SKU_00288,12,False,True
OL_000000004,ORD_0000001,SKU_00124,4,False,True
OL_000000005,ORD_0000002,SKU_00109,5,False,False
OL_000000006,ORD_0000002,SKU_00087,4,False,True
OL_000000007,ORD_0000002,SKU_00025,7,False,False
OL_000000008,ORD_0000002,SKU_00040,6,True,True
OL_000000009,ORD_0000002,SKU_00222,7,False,False
OL_000000010,ORD_0000003,SKU_00089,3,False,False
OL_000000011,ORD_0000003,SKU_00272,3,True,True
OL_000000012,ORD_0000003,SKU_00291,2,True,True
OL_000000013,ORD_0000003,SKU_00030,19,False,False
OL_000000014,ORD_0000003,SKU_00019,1,False,False
OL_000000015,ORD_0000004,SKU_00151,2,False,False
OL_000000016,ORD_0000004,SKU_00289,2,False,False
OL_000000017,ORD_0000004,SKU_00229,19,True,False
OL_000000018,ORD_0000005,SKU_00192,13,True,True
OL_000000019,ORD_0000005,SKU_00276,34,False,False
OL_000000020,ORD_0000005,SKU_00215,36,False,False
OL_000000021,ORD_0000006,SKU_00136,1,True,False
OL_000000022,ORD_0000006,SKU_00199,8,True,False
OL_000000023,ORD_0000006,SKU_00022,9,True,False
OL_000000024,ORD_0000006,SKU_00091,8,False,True
OL_000000025,ORD_0000006,SKU_00095,14,False,False
OL_000000026,ORD_0000007,SKU_00230,4,False,True
OL_000000027,ORD_0000007,SKU_00177,7,False,False
OL_000000028,ORD_0000007,SKU_00016,39,False,False
OL_000000029,ORD_0000007,SKU_00131,20,False,False
OL_000000030,ORD_0000007,SKU_00205,6,False,True
OL_000000031,ORD_0000007,SKU_00296,9,True,False
OL_000000032,ORD_0000007,SKU_00181,23,True,True
OL_000000033,ORD_0000007,SKU_00175,10,False,False
OL_000000034,ORD_0000007,SKU_00178,4,False,False
OL_000000035,ORD_0000007,SKU_00249,4,True,False
OL_000000036,ORD_0000008,SKU_00070,1,False,True
OL_000000037,ORD_0000008,SKU_00211,2,False,True
OL_000000038,ORD_0000008,SKU_00209,1,True,False
OL_000000039,ORD_0000009,SKU_00134,2,True,False
OL_000000040,ORD_0000009,SKU_00100,6,False,False
OL_000000041,ORD_0000009,SKU_00249,10,True,False
OL_000000042,ORD_0000010,SKU_00187,7,False,False
OL_000000043,ORD_0000010,SKU_00292,14,False,False
OL_000000044,ORD_0000010,SKU_00263,2,False,True
OL_000000045,ORD_0000010,SKU_00137,2,True,False
OL_000000046,ORD_0000010,SKU_00157,1,False,True
OL_000000047,ORD_0000010,SKU_00059,6,False,False
OL_000000048,ORD_0000011,SKU_00260,3,True,False
OL_000000049,ORD_0000011,SKU_00163,4,False,True
OL_000000050,ORD_0000011,SKU_00051,15,False,False
OL_000000051,ORD_0000012,SKU_00138,9,False,False
OL_000000052,ORD_0000012,SKU_00160,3,False,False
OL_000000053,ORD_0000012,SKU_00166,1,False,True
OL_000000054,ORD_0000012,SKU_00259,2,False,False
OL_000000055,ORD_0000012,SKU_00035,8,True,False
OL_000000056,ORD_0000013,SKU_00077,3,False,False
OL_000000057,ORD_0000013,SKU_00103,4,False,False
OL_000000058,ORD_0000013,SKU_00205,1,False,False
OL_000000059,ORD_0000013,SKU_00070,9,False,False
OL_000000060,ORD_0000014,SKU_00251,3,True,True
OL_000000061,ORD_0000014,SKU_00250,4,False,True
OL_000000062,ORD_0000014,SKU_00036,1,False,False
OL_000000063,ORD_0000015,SKU_00283,9,False,False
OL_000000064,ORD_0000015,SKU_00027,8,False,False
OL_000000065,ORD_0000015,SKU_00294,1,False,False
OL_000000066,ORD_0000015,SKU_00159,1,False,False
OL_000000067,ORD_0000016,SKU_00051,3,False,True
OL_000000068,ORD_0000016,SKU_00195,8,False,False
OL_000000069,ORD_0000016,SKU_00068,1,True,False
OL_000000070,ORD_0000016,SKU_00126,3,True,False
OL_000000071,ORD_0000016,SKU_00218,2,True,False
OL_000000072,ORD_0000017,SKU_00253,2,False,False
OL_000000073,ORD_0000017,SKU_00169,9,False,True
OL_000000074,ORD_0000017,SKU_00130,1,False,False
OL_000000075,ORD_0000017,SKU_00174,5,False,False
OL_000000076,ORD_0000017,SKU_00262,11,False,False
OL_000000077,ORD_0000017,SKU_00051,5,False,False
OL_000000078,ORD_0000018,SKU_00162,7,False,True
OL_000000079,ORD_0000018,SKU_00148,4,False,False
OL_000000080,ORD_0000018,SKU_00051,1,False,False
OL_000000081,ORD_0000018,SKU_00055,1,True,False
OL_000000082,ORD_0000019,SKU_00128,2,False,False
OL_000000083,ORD_0000019,SKU_00215,1,False,False
OL_000000084,ORD_0000019,SKU_00020,2,False,False
OL_000000085,ORD_0000019,SKU_00216,1,True,False
OL_000000086,ORD_0000019,SKU_00018,4,True,False
OL_000000087,ORD_0000019,SKU_00232,3,False,False
OL_000000088,ORD_0000019,SKU_00055,2,True,False
OL_000000089,ORD_0000019,SKU_00161,9,False,False
OL_000000090,ORD_0000019,SKU_00200,7,False,True
OL_000000091,ORD_0000019,SKU_00014,5,True,True
OL_000000092,ORD_0000020,SKU_00085,1,True,True
OL_000000093,ORD_0000020,SKU_00010,5,False,True
OL_000000094,ORD_0000020,SKU_00008,20,False,False
OL_000000095,ORD_0000020,SKU_00122,2,False,False
OL_000000096,ORD_0000020,SKU_00217,5,False,True
OL_000000097,ORD_0000021,SKU_00007,4,True,False
OL_000000098,ORD_0000021,SKU_00111,2,False,False
OL_000000099,ORD_0000021,SKU_00049,8,False,True
OL_000000100,ORD_0000021,SKU_00236,9,False,False
OL_000000101,ORD_0000021,SKU_00099,3,False,False
OL_000000102,ORD_0000022,SKU_00005,7,False,False
OL_000000103,ORD_0000022,SKU_00201,1,True,True
OL_000000104,ORD_0000022,SKU_00049,9,False,False
OL_000000105,ORD_0000022,SKU_00089,3,False,False
OL_000000106,ORD_0000023,SKU_00252,1,True,False
OL_000000107,ORD_0000023,SKU_00202,8,True,True
OL_000000108,ORD_0000023,SKU_00017,11,False,False
OL_000000109,ORD_0000023,SKU_00112,10,False,False
OL_000000110,ORD_0000023,SKU_00241,2,False,True
OL_000000111,ORD_0000023,SKU_00012,5,False,False
OL_000000112,ORD_0000024,SKU_00158,8,False,False
OL_000000113,ORD_0000024,SKU_00124,11,False,False
OL_000000114,ORD_0000025,SKU_00024,6,False,False
OL_000000115,ORD_0000025,SKU_00286,1,False,True
OL_000000116,ORD_0000025,SKU_00151,4,False,False
OL_000000117,ORD_0000025,SKU_00128,15,False,True
OL_000000118,ORD_0000026,SKU_00254,3,False,True
OL_000000119,ORD_0000026,SKU_00103,6,False,True
OL_000000120,ORD_0000026,SKU_00044,4,False,True
OL_000000121,ORD_0000026,SKU_00269,1,False,True
OL_000000122,ORD_0000026,SKU_00296,6,True,True
OL_000000123,ORD_0000027,SKU_00288,1,False,False
OL_000000124,ORD_0000027,SKU_00258,4,False,False
OL_000000125,ORD_0000027,SKU_00200,9,False,True
OL_000000126,ORD_0000027,SKU_00227,1,False,True
OL_000000127,ORD_0000027,SKU_00231,20,True,False
OL_000000128,ORD_0000027,SKU_00135,1,False,True
OL_000000129,ORD_0000027,SKU_00170,2,False,False
OL_000000130,ORD_0000027,SKU_00016,6,False,False
OL_000000131,ORD_0000027,SKU_00293,1,False,False
OL_000000132,ORD_0000027,SKU_00026,4,False,False
OL_000000133,ORD_0000027,SKU_00280,5,False,False
OL_000000134,ORD_0000027,SKU_00143,6,False,False
OL_000000135,ORD_0000027,SKU_00181,3,True,False
OL_000000136,ORD_0000027,SKU_00147,1,False,False
OL_000000137,ORD_0000027,SKU_00219,15,False,True
OL_000000138,ORD_0000028,SKU_00050,6,False,False
OL_000000139,ORD_0000028,SKU_00173,1,False,False
OL_000000140,ORD_0000028,SKU_00248,4,False,True
OL_000000141,ORD_0000029,SKU_00161,10,False,False
OL_000000142,ORD_0000029,SKU_00089,2,False,False
OL_000000143,ORD_0000029,SKU_00070,6,False,False
OL_000000144,ORD_0000030,SKU_00084,2,False,True
OL_000000145,ORD_0000030,SKU_00064,4,False,False
OL_000000146,ORD_0000030,SKU_00077,1,False,False
OL_000000147,ORD_0000030,SKU_00098,18,False,True
OL_000000148,ORD_0000031,SKU_00300,5,True,False
OL_000000149,ORD_0000032,SKU_00279,5,False,False
OL_000000150,ORD_0000032,SKU_00029,1,True,True
OL_000000151,ORD_0000032,SKU_00246,3,False,True
OL_000000152,ORD_0000032,SKU_00267,14,True,True
OL_000000153,ORD_0000033,SKU_00018,4,True,False
OL_000000154,ORD_0000033,SKU_00236,3,False,False
OL_000000155,ORD_0000033,SKU_00172,1,True,False
OL_000000156,ORD_0000034,SKU_00071,7,False,False
OL_000000157,ORD_0000034,SKU_00143,9,False,False
OL_000000158,ORD_0000034,SKU_00267,1,True,False
OL_000000159,ORD_0000034,SKU_00169,4,False,False
OL_000000160,ORD_0000035,SKU_00003,5,False,False
OL_000000161,ORD_0000035,SKU_00065,4,True,False
OL_000000162,ORD_0000035,SKU_00042,2,False,False
OL_000000163,ORD_0000035,SKU_00208,1,False,False
OL_000000164,ORD_0000036,SKU_00034,2,False,False
OL_000000165,ORD_0000036,SKU_00244,2,False,False
OL_000000166,ORD_0000036,SKU_00112,3,False,True
OL_000000167,ORD_0000036,SKU_00060,3,False,False
OL_000000168,ORD_0000037,SKU_00295,2,False,False
OL_000000169,ORD_0000037,SKU_00285,1,False,False
OL_000000170,ORD_0000037,SKU_00167,1,False,False
OL_000000171,ORD_0000037,SKU_00118,2,False,True
OL_000000172,ORD_0000038,SKU_00166,2,False,False
OL_000000173,ORD_0000038,SKU_00171,4,True,False
OL_000000174,ORD_0000038,SKU_00134,1,True,True
OL_000000175,ORD_0000039,SKU_00249,11,True,False
OL_000000176,ORD_0000039,SKU_00185,53,False,False
OL_000000177,ORD_0000039,SKU_00085,8,True,False
OL_000000178,ORD_0000039,SKU_00106,7,True,True
OL_000000179,ORD_0000040,SKU_00151,2,False,True
OL_000000180,ORD_0000040,SKU_00135,43,False,True
OL_000000181,ORD_0000040,SKU_00006,7,False,False
OL_000000182,ORD_0000041,SKU_00014,7,True,True
OL_000000183,ORD_0000041,SKU_00130,8,False,False
OL_000000184,ORD_0000041,SKU_00170,3,False,False
OL_000000185,ORD_0000041,SKU_00058,5,True,False
OL_000000186,ORD_0000041,SKU_00255,2,False,True
OL_000000187,ORD_0000042,SKU_00088,19,False,False
OL_000000188,ORD_0000042,SKU_00283,1,False,True
OL_000000189,ORD_0000042,SKU_00282,4,True,False
OL_000000190,ORD_0000042,SKU_00257,8,False,False
OL_000000191,ORD_0000043,SKU_00073,5,False,False
OL_000000192,ORD_0000043,SKU_00240,4,False,False
OL_000000193,ORD_0000043,SKU_00179,2,False,False
OL_000000194,ORD_0000043,SKU_00209,10,True,True
OL_000000195,ORD_0000044,SKU_00072,10,True,False
OL_000000196,ORD_0000044,SKU_00023,4,False,True
OL_000000197,ORD_0000044,SKU_00280,1,False,False
OL_000000198,ORD_0000044,SKU_00216,8,True,True
OL_000000199,ORD_0000044,SKU_00251,4,True,True
OL_000000200,ORD_0000044,SKU_00029,5,True,False
OL_000000201,ORD_0000045,SKU_00176,8,False,False
OL_000000202,ORD_0000046,SKU_00234,2,False,True
OL_000000203,ORD_0000046,SKU_00288,3,False,False
OL_000000204,ORD_0000046,SKU_00248,3,False,False
OL_000000205,ORD_0000046,SKU_00096,1,True,False
OL_000000206,ORD_0000046,SKU_00276,3,False,True
OL_000000207,ORD_0000047,SKU_00149,1,True,False
OL_000000208,ORD_0000047,SKU_00108,2,False,False
OL_000000209,ORD_0000047,SKU_00300,3,True,False
OL_000000210,ORD_0000048,SKU_00196,1,True,False
OL_000000211,ORD_0000048,SKU_00034,15,False,True
OL_000000212,ORD_0000048,SKU_00207,3,False,False
OL_000000213,ORD_0000049,SKU_00052,4,False,True
OL_000000214,ORD_0000049,SKU_00248,2,False,False
OL_000000215,ORD_0000049,SKU_00215,29,False,False
OL_000000216,ORD_0000049,SKU_00150,4,False,False
OL_000000217,ORD_0000049,SKU_00154,3,True,False
OL_000000218,ORD_0000049,SKU_00244,1,False,True
OL_000000219,ORD_0000050,SKU_00119,11,False,False
OL_000000220,ORD_0000050,SKU_00020,19,False,False
OL_000000221,ORD_0000050,SKU_00222,24,False,False
OL_000000222,ORD_0000051,SKU_00179,3,False,False
OL_000000223,ORD_0000051,SKU_00078,6,False,False
OL_000000224,ORD_0000051,SKU_00296,17,True,True
OL_000000225,ORD_0000051,SKU_00062,26,False,True
OL_000000226,ORD_0000051,SKU_00281,8,False,False
OL_000000227,ORD_0000052,SKU_00277,39,False,False
OL_000000228,ORD_0000052,SKU_00152,2,True,False
OL_000000229,ORD_0000053,SKU_00087,5,False,False
OL_000000230,ORD_0000053,SKU_00296,10,True,True
OL_000000231,ORD_0000054,SKU_00245,27,False,False
OL_000000232,ORD_0000054,SKU_00232,2,False,True
OL_000000233,ORD_0000055,SKU_00097,13,False,False
OL_000000234,ORD_0000055,SKU_00147,4,False,False
OL_000000235,ORD_0000055,SKU_00162,10,False,True
OL_000000236,ORD_0000055,SKU_00270,1,False,False
OL_000000237,ORD_0000055,SKU_00050,5,False,False
OL_000000238,ORD_0000056,SKU_00013,10,False,True
OL_000000239,ORD_0000056,SKU_00058,1,True,True
OL_000000240,ORD_0000056,SKU_00069,8,True,False
OL_000000241,ORD_0000056,SKU_00209,11,True,False
