customer_type,orders,lines,units
2026-01-16 19:03:00,1,1,0
2026-01-14 19:46:00,2,2,0
2026-01-15 13:43:00,1,1,0
2026-01-10 07:32:00,1,1,0
2026-01-14 08:03:00,2,2,0
2026-01-12 08:46:00,2,2,0
2026-01-10 17:50:00,1,1,0
2026-01-16 09:13:00,1,1,0
2026-01-14 18:29:00,1,1,0
2026-01-14 09:56:00,2,2,0
2026-01-13 11:16:00,1,1,0
2026-01-11 20:20:00,1,1,0
2026-01-11 20:28:00,1,1,0
2026-01-11 11:51:00,1,1,0
2026-01-13 11:12:00,2,2,0
2026-01-16 19:39:00,1,1,0
2026-01-15 12:26:00,1,1,0
2026-01-15 12:22:00,2,2,0
2026-01-13 21:34:00,2,2,0
2026-01-13 21:38:00,1,1,0
2026-01-10 06:11:00,1,1,0
2026-01-13 15:40:00,1,1,0
2026-01-10 06:15:00,2,2,0
2026-01-15 16:54:00,1,1,0
2026-01-15 16:50:00,2,2,0
2026-01-12 07:29:00,1,1,0
2026-01-14 17:08:00,3,3,0
2026-01-11 10:38:00,2,2,0
2026-01-15 11:09:00,1,1,0
2026-01-13 14:27:00,1,1,0
2026-01-15 15:37:00,3,3,0
2026-01-15 15:33:00,1,1,0
2026-01-13 18:51:00,1,1,0
2026-01-12 19:01:00,3,3,0
2026-01-13 13:06:00,2,2,0
2026-01-13 13:02:00,2,2,0
2026-01-11 13:45:00,1,1,0
2026-01-11 16:20:00,1,1,0
2026-01-15 14:16:00,1,1,0
2026-01-13 17:30:00,1,1,0
2026-01-15 18:44:00,1,1,0
2026-01-15 18:48:00,2,2,0
2026-01-14 20:00:00,1,1,0
2026-01-14 11:31:00,1,1,0
2026-01-14 11:35:00,1,1,0
2026-01-12 09:19:00,1,1,0
2026-01-12 20:47:00,1,1,0
2026-01-16 12:41:00,1,1,0
2026-01-11 15:03:00,1,1,0
2026-01-15 07:09:00,1,1,0
2026-01-15 07:01:00,1,1,0
2026-01-13 16:17:00,1,1,0
2026-01-13 16:13:00,1,1,0
2026-01-13 07:44:00,2,2,0
2026-01-15 17:27:00,1,1,0
2026-01-14 10:18:00,2,2,0
2026-01-14 10:10:00,2,2,0
2026-01-14 14:46:00,1,1,0
2026-01-14 14:42:00,1,1,0
2026-01-16 15:52:00,1,1,0
2026-01-11 18:10:00,2,2,0
2026-01-11 09:45:00,2,2,0
2026-01-13 19:28:00,2,2,0
2026-01-10 12:54:00,1,1,0
2026-01-13 19:24:00,2,2,0
2026-01-10 12:58:00,1,1,0
2026-01-13 19:20:00,1,1,0
2026-01-14 13:29:00,1,1,0
2026-01-14 13:25:00,1,1,0
2026-01-16 14:39:00,1,1,0
2026-01-14 17:53:00,1,1,0
2026-01-14 17:57:00,2,2,0
2026-01-11 08:28:00,2,2,0
2026-01-15 11:54:00,1,1,0
2026-01-15 11:50:00,1,1,0
2026-01-13 18:07:00,2,2,0
2026-01-14 12:08:00,2,2,0
2026-01-14 12:04:00,2,2,0
2026-01-12 06:53:00,2,2,0
2026-01-12 15:26:00,1,1,0
2026-01-16 07:28:00,1,1,0
2026-01-14 16:32:00,3,3,0
2026-01-14 16:36:00,4,4,0
2026-01-11 07:07:00,1,1,0
2026-01-16 17:46:00,1,1,0
2026-01-15 10:37:00,2,2,0
2026-01-15 10:33:00,5,5,0
2026-01-15 20:59:00,3,3,0
2026-01-10 14:44:00,1,1,0
2026-01-10 14:48:00,1,1,0
2026-01-12 14:09:00,1,1,0
2026-01-16 06:03:00,1,1,0
2026-01-14 09:21:00,1,1,0
2026-01-14 15:15:00,1,1,0
2026-01-14 15:19:00,3,3,0
2026-01-12 18:33:00,1,1,0
2026-01-14 19:47:00,1,1,0
2026-01-14 19:43:00,2,2,0
2026-01-13 12:34:00,1,1,0
2026-01-13 12:30:00,1,1,0
2026-01-15 13:44:00,2,2,0
2026-01-15 13:40:00,3,3,0
2026-01-15 13:48:00,2,2,0
2026-01-14 08:08:00,2,2,0
2026-01-14 08:00:00,3,3,0
2026-01-12 08:43:00,1,1,0
2026-01-16 09:14:00,1,1,0
2026-01-14 18:26:00,1,1,0
2026-01-13 11:17:00,1,1,0
2026-01-11 20:21:00,1,1,0
2026-01-15 12:27:00,1,1,0
2026-01-13 21:39:00,3,3,0
2026-01-13 15:45:00,4,4,0
2026-01-13 15:41:00,1,1,0
2026-01-15 16:55:00,1,1,0
2026-01-15 16:51:00,3,3,0
2026-01-11 13:14:00,1,1,0
2026-01-13 14:20:00,1,1,0
2026-01-13 14:28:00,2,2,0
2026-01-13 14:24:00,1,1,0
2026-01-15 09:40:00,2,2,0
2026-01-15 15:38:00,1,1,0
2026-01-13 18:52:00,2,2,0
2026-01-10 09:27:00,1,1,0
2026-01-14 12:53:00,1,1,0
2026-01-13 13:03:00,2,2,0
2026-01-13 13:07:00,1,1,0
2026-01-15 08:23:00,2,2,0
2026-01-15 08:27:00,1,1,0
2026-01-13 17:35:00,1,1,0
2026-01-10 08:06:00,1,1,0
2026-01-15 18:49:00,1,1,0
2026-01-15 18:45:00,2,2,0
2026-01-14 20:05:00,1,1,0
2026-01-14 11:32:00,1,1,0
2026-01-14 20:01:00,4,4,0
2026-01-16 21:19:00,2,2,0
2026-01-14 21:58:00,1,1,0
2026-01-11 06:35:00,1,1,0
2026-01-11 15:08:00,2,2,0
